nama_provinsi,kode_kabkota,nama_kabkota,koordinat_kabkota,positif
Prov. Nanggroe Aceh Darussalam,1101,Simeulue,"2.62818,96.0898",0
Prov. Nanggroe Aceh Darussalam,1102,Aceh Singkil,"2.439,97.9244",0
Prov. Nanggroe Aceh Darussalam,1103,Aceh Selatan,"3.25638,97.213",0
Prov. Nanggroe Aceh Darussalam,1104,Aceh Tenggara,"3.59968,97.6619",0
Prov. Nanggroe Aceh Darussalam,1105,Aceh Timur,"4.56983,97.7723",0
Prov. Nanggroe Aceh Darussalam,1106,Aceh Tengah,"4.56693,96.8147",0
Prov. Nanggroe Aceh Darussalam,1107,Aceh Barat,"4.49032,96.041",0
Prov. Nanggroe Aceh Darussalam,1108,Aceh Besar,"5.35887,95.5144",0
Prov. Nanggroe Aceh Darussalam,1109,Pidie,"5.1152,95.9574",0
Prov. Nanggroe Aceh Darussalam,1110,Bireuen,"5.081,96.5974",0
Prov. Nanggroe Aceh Darussalam,1111,Aceh Utara,"4.99764,97.1454",0
Prov. Nanggroe Aceh Darussalam,1112,Aceh Barat Daya,"3.78325,96.9143",0
Prov. Nanggroe Aceh Darussalam,1113,Gayo Lues,"3.97798,97.323",0
Prov. Nanggroe Aceh Darussalam,1114,Aceh Tamiang,"4.20756,98.0029",0
Prov. Nanggroe Aceh Darussalam,1115,Nagan Raya,"4.15452,96.5184",0
Prov. Nanggroe Aceh Darussalam,1116,Aceh Jaya,"4.8271,95.6491",0
Prov. Nanggroe Aceh Darussalam,1117,Bener Meriah,"4.76923,96.9901",0
Prov. Nanggroe Aceh Darussalam,1118,Pidie Jaya,"5.13828,96.2004",0
Prov. Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,"5.54215,95.3431",0
Prov. Nanggroe Aceh Darussalam,1172,Kota Sabang,"5.83886,95.2953",0
Prov. Nanggroe Aceh Darussalam,1173,Kota Langsa,"4.48157,97.9214",0
Prov. Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,"5.12941,97.0654",0
Prov. Nanggroe Aceh Darussalam,1175,Kota Subulussalam,"2.65359,97.9101",0
Prov. Sumatera Utara,1201,Nias,"1.12946,97.7191",0
Prov. Sumatera Utara,1202,Mandailing Natal,"0.716284,99.4183",0
Prov. Sumatera Utara,1203,Tapanuli Selatan,"1.52419,99.2215",0
Prov. Sumatera Utara,1204,Tapanuli Tengah,"1.86878,98.6094",0
Prov. Sumatera Utara,1205,Tapanuli Utara,"2.0633,98.8284",0
Prov. Sumatera Utara,1206,Toba Samosir,"2.50027,99.0042",0
Prov. Sumatera Utara,1207,Labuhan Batu,"2.14783,99.9218",0
Prov. Sumatera Utara,1208,Asahan,"2.98305,99.531",0
Prov. Sumatera Utara,1209,Simalungun,"2.95304,99.2713",0
Prov. Sumatera Utara,1210,Dairi,"2.82712,98.2783",0
Prov. Sumatera Utara,1211,Karo,"3.09635,98.2514",0
Prov. Sumatera Utara,1212,Deli Serdang,"3.46231,98.888",0
Prov. Sumatera Utara,1213,Langkat,"3.766,98.2307",0
Prov. Sumatera Utara,1214,Nias Selatan,"0.786682,97.7166",0
Prov. Sumatera Utara,1215,Humbang Hasundutan,"2.23062,98.5734",0
Prov. Sumatera Utara,1216,Pakpak Bharat,"2.55478,98.2762",0
Prov. Sumatera Utara,1217,Samosir,"2.50894,98.6264",0
Prov. Sumatera Utara,1218,Serdang Bedagai,"3.34975,99.0295",0
Prov. Sumatera Utara,1219,Batu Bara,"3.23175,99.5003",0
Prov. Sumatera Utara,1220,Padang Lawas Utara,"1.61899,99.6822",0
Prov. Sumatera Utara,1221,Padang Lawas,"1.2403,99.9102",0
Prov. Sumatera Utara,1222,Labuhan Batu Selatan,"1.8468,100.077",0
Prov. Sumatera Utara,1223,Labuhan Batu Utara,"2.42728,99.7271",0
Prov. Sumatera Utara,1224,Nias Utara,"1.30584,97.3029",0
Prov. Sumatera Utara,1225,Nias Barat,"1.01902,97.5242",0
Prov. Sumatera Utara,1271,Kota Sibolga,"1.72715,98.7986",0
Prov. Sumatera Utara,1272,Kota Tanjung Balai,"2.94164,99.7784",0
Prov. Sumatera Utara,1273,Kota Pematang Siantar,"2.9676,99.0514",0
Prov. Sumatera Utara,1274,Kota Tebing Tinggi,"3.33108,99.1414",0
Prov. Sumatera Utara,1275,Kota Medan,"3.6686,98.6712",0
Prov. Sumatera Utara,1276,Kota Binjai,"3.61904,98.4846",0
Prov. Sumatera Utara,1277,Kota Padangsidimpuan,"1.30299,99.2289",0
Prov. Sumatera Utara,1278,Kota Gunungsitoli,"1.26105,97.5949",0
Prov. Sumatera Barat,1301,Kepulauan Mentawai,"-1.34643,98.9409",0
Prov. Sumatera Barat,1302,Pesisir Selatan,"-1.74602,100.844",0
Prov. Sumatera Barat,1303,Solok,"-0.933584,100.83",0
Prov. Sumatera Barat,1304,Sijunjung,"-0.650064,101.147",0
Prov. Sumatera Barat,1305,Tanah Datar,"-0.470079,100.582",0
Prov. Sumatera Barat,1306,Padang Pariaman,"-0.59275,100.257",0
Prov. Sumatera Barat,1307,Agam,"-0.266132,100.15",0
Prov. Sumatera Barat,1308,Lima Puluh Kota,"-0.000848,100.563",0
Prov. Sumatera Barat,1309,Pasaman,"0.39956,100.083",0
Prov. Sumatera Barat,1310,Solok Selatan,"-1.35893,101.276",0
Prov. Sumatera Barat,1311,Dharmas Raya,"-1.00085,101.342",0
Prov. Sumatera Barat,1312,Pasaman Barat,"0.186779,99.5962",0
Prov. Sumatera Barat,1371,Kota Padang,"-1.00273,100.451",0
Prov. Sumatera Barat,1372,Kota Solok,"-0.759189,100.599",0
Prov. Sumatera Barat,1373,Kota Sawah Lunto,"-0.677574,100.788",0
Prov. Sumatera Barat,1374,Kota Padang Panjang,"-0.453913,100.423",0
Prov. Sumatera Barat,1375,Kota Bukittinggi,"-0.271348,100.372",0
Prov. Sumatera Barat,1376,Kota Payakumbuh,"-0.239505,100.641",0
Prov. Sumatera Barat,1377,Kota Pariaman,"-0.626203,100.145",0
Prov. Riau,1401,Kuantan Singingi,"-0.491978,101.47",0
Prov. Riau,1402,Indragiri Hulu,"-0.522681,102.243",0
Prov. Riau,1403,Indragiri Hilir,"-0.287854,103.183",0
Prov. Riau,1404,Pelalawan,"0.124485,102.427",0
Prov. Riau,1405,Siak,"0.761717,101.846",0
Prov. Riau,1406,Kampar,"0.27116,101.089",0
Prov. Riau,1407,Rokan Hulu,"0.821098,100.506",0
Prov. Riau,1408,Bengkalis,"1.24641,101.523",0
Prov. Riau,1409,Rokan Hilir,"1.86948,100.838",0
Prov. Riau,1410,Kepulauan Meranti,"0.907379,102.726",0
Prov. Riau,1471,Kota Pekan Baru,"0.557415,101.462",0
Prov. Riau,1473,Kota Dumai,"1.74798,101.264",0
